sigma,trial_index,path_panel_seed,n_paths,strike,vanilla_estimate,vanilla_se,cv_estimate,cv_se,beta,payoff_correlation,geometric_exact
0.1,3,20260719,500000,110.0,0.33533436842002246,0.0018678222567931595,0.3356850357853826,7.137487354114763e-05,1.0571627355514752,0.9992696210560817,0.31030219661698605
0.1,4,20260720,500000,90.0,11.964428850522513,0.007963033204555013,11.961156506867816,0.00010786395937687328,1.0085599694616085,0.9999082543272331,11.871913478172798
0.1,4,20260720,500000,95.0,7.420204363783355,0.007471662862624406,7.419336950285763,9.773441194250971e-05,1.011609177342592,0.9999144442787965,7.337430824192104
0.1,4,20260720,500000,100.0,3.6516644966871135,0.005985866627704986,3.653997435216769,8.744871008602883e-05,1.0178945341967767,0.9998932799739755,3.5848072672843276
0.1,4,20260720,500000,105.0,1.3182792537009833,0.0037720760619910066,1.3202473845586935,8.025563692729135e-05,1.0313010481555258,0.9997736349520202,1.270574186805144
0.1,4,20260720,500000,110.0,0.33396405234152043,0.001853466511771044,0.33578289392151467,7.128465379730653e-05,1.0575149635869687,0.9992601336148402,0.31030219661698605
0.1,5,20260721,500000,90.0,11.950377042664329,0.007973792840057668,11.961035227656799,0.00010733595275063414,1.0085289259749544,0.9999093954070527,11.871913478172798
0.1,5,20260721,500000,95.0,7.408211764978039,0.00747873381621663,7.419217297448731,9.725289538290864e-05,1.0115751217429996,0.9999154453895275,7.337430824192104
0.1,5,20260721,500000,100.0,3.644376619369637,0.005988758673626082,3.6538446900129786,8.690255263581588e-05,1.017850693596835,0.9998947106827994,3.5848072672843276
0.1,5,20260721,500000,105.0,1.3155055886579727,0.0037772676255842315,1.3201241870392981,7.983067610782225e-05,1.0311777482586846,0.9997766414349561,1.270574186805144
0.1,5,20260721,500000,110.0,0.3346994016157407,0.0018629151893313374,0.3356599759174803,7.082305938815646e-05,1.057074407429994,0.999277080046606,0.31030219661698605
0.1,6,20260722,500000,90.0,11.959113121302542,0.007973403161276928,11.961133346440718,0.00010786855731579451,1.0085657087100974,0.9999084850241046,11.871913478172798
0.1,6,20260722,500000,95.0,7.417587834934749,0.0074761649158699185,7.419292422672912,9.782432970587685e-05,1.0116182882890972,0.999914389977624,7.337430824192104
0.1,6,20260722,500000,100.0,3.651972570456033,0.005985717552497803,3.6539797163729455,8.757713504144713e-05,1.0179037376637934,0.999892960942646,3.5848072672843276
0.1,6,20260722,500000,105.0,1.317399314552619,0.003774205706064557,1.3203187775289955,8.061107983473536e-05,1.0312658981940113,0.9997718828767878,1.270574186805144
0.1,6,20260722,500000,110.0,0.3342370825576631,0.0018589288460108674,0.3357272289678726,7.158368422866126e-05,1.05732923861954,0.9992582908198662,0.31030219661698605
0.1,7,20260723,500000,90.0,11.96458445078253,0.007988683797974738,11.96141500846438,0.00010814042424675816,1.0085961111977821,0.999908374664926,11.871913478172798
0.1,7,20260723,500000,95.0,7.423027752008381,0.007491913484766611,7.419557137476274,9.799973540467301e-05,1.011644085382982,0.9999144435251583,7.337430824192104
0.1,7,20260723,500000,100.0,3.658376111902592,0.006001886131035706,3.6541605247822613,8.782404653773735e-05,1.0179156863017222,0.9998929357109343,3.5848072672843276
0.1,7,20260723,500000,105.0,1.323988249704715,0.0037902114725417396,1.3203100799813068,8.067637084054043e-05,1.0312484249753233,0.9997734390653036,1.270574186805144
0.1,7,20260723,500000,110.0,0.3379010020981995,0.0018716712810579145,0.33567287697185,7.110815331594797e-05,1.0573530178734472,0.999278051116765,0.31030219661698605
0.15,0,20260724,500000,90.0,12.159532164898014,0.011535945259152747,12.163837029646256,0.00021586580313496788,1.0140143982168035,0.9998249067717525,11.99014401697133
0.15,0,20260724,500000,95.0,8.023801926879823,0.010441644361993546,8.028500661449105,0.00019677956314764192,1.0189047106659495,0.999822404989564,7.8739682989695385
0.15,0,20260724,500000,100.0,4.6986259644327575,0.008611644980220616,4.701692062129352,0.00018085783165395797,1.0263058999722128,0.9997794432748796,4.569785546793221
0.15,0,20260724,500000,105.0,2.4067304557308273,0.0063879695986905185,2.4079905283327854,0.0001694545433744195,1.0381291802849641,0.9996480935877193,2.302527607409305
0.15,0,20260724,500000,110.0,1.0734406725626897,0.004279216209933654,1.0735768995002668,0.0001594306236054035,1.0566746866476222,0.9993057181348557,0.9988610652656825
0.15,1,20260725,500000,90.0,12.167506577259,0.011538645111323721,12.164329305951217,0.00021512391560729894,1.0140446138208064,0.999826189701915,11.99014401697133
0.15,1,20260725,500000,95.0,8.031485870238429,0.010444024046011339,8.02897092064472,0.00019602852811505473,1.0189352345765164,0.9998238384629643,7.8739682989695385
0.15,1,20260725,500000,100.0,4.705117984897006,0.008613629393856929,4.702233045783704,0.0001802435460251881,1.0263192122483786,0.999781040075251,4.569785546793221
0.15,1,20260725,500000,105.0,2.412118385196897,0.006387511038534263,2.408255360142224,0.0001689744917496283,1.0381656446022454,0.9996500347078345,2.302527607409305
0.15,1,20260725,500000,110.0,1.0772044076403897,0.004271896028836796,1.0739373121808622,0.00015957930701521308,1.0567426125886235,0.9993020354048507,0.9988610652656825
0.15,2,20260726,500000,90.0,12.148727193001223,0.011556894092327415,12.164178918411752,0.00021662179745892047,1.014077635098493,0.9998243168140495,11.99014401697133
0.15,2,20260726,500000,95.0,8.018165240902368,0.010455855292393816,8.02878379795184,0.00019756329453395925,1.0189803953089005,0.9998214737165211,7.8739682989695385
0.15,2,20260726,500000,100.0,4.698850102364036,0.008621140843109247,4.701939090088419,0.00018153034575648204,1.0263948548892972,0.999778289051345,4.569785546793221
0.15,2,20260726,500000,105.0,2.410634254362618,0.0063945681630274585,2.408141711957059,0.00016980503704931452,1.0382763376101452,0.9996473651093473,2.302527607409305
0.15,2,20260726,500000,110.0,1.0763503558017509,0.004284172154627548,1.073761218728131,0.00015947266684093078,1.0569820328314898,0.9993069585531763,0.9988610652656825
0.15,3,20260727,500000,90.0,12.160464890824944,0.01153746394759719,12.163822693325589,0.00021547080366548789,1.0139362473756695,0.9998255929536937,11.99014401697133
0.15,3,20260727,500000,95.0,8.025999639894728,0.010440532008051878,8.02846099535007,0.0001964523818033428,1.0188163783012703,0.9998229573957828,7.8739682989695385
0.15,3,20260727,500000,100.0,4.700255242308768,0.00861042446917777,4.701643736240843,0.0001806543387682086,1.0261784181197755,0.9997798769731214,4.569785546793221
