beta,variance_dollars_squared,grid_min_dollars,grid_max_dollars,grid_oscillation_dollars,signed_on_grid
1.0074999999999998,0.07389191083515811,-0.0930096534760736,8.329212743868652,8.422222397344726,True
1.01,0.0672878703994968,-0.1436018947816038,8.128846945273054,8.272448840054658,True
1.0125,0.061504593171150646,-0.19775862415547252,7.92848114667747,8.126239770832942,True
1.015,0.05654207915011966,-0.2521393261288125,7.728115348081886,7.980254674210698,True
1.0175,0.052400328336403845,-0.3108140409898219,7.527749549486288,7.8385635904761095,True
1.02,0.049079340730003196,-0.3765780006199009,7.327383750890704,7.7039617515106045,True
1.0225,0.04657911633088929,-0.44655564535441883,7.12701795229512,7.573573597649538,True
1.025,0.0448996551391474,-0.5167077145234735,6.92665215369955,7.443359868223023,True
1.0274999999999999,0.04404095715472067,-0.5905170026695323,6.726286355103966,7.316803357773498,True
1.03,0.04400302237758069,-0.667831420350101,6.5259205565083676,7.193751976858469,True
1.0325,0.04478585080775588,-0.745342364489467,6.3255547579127835,7.0708971224022505,True
1.035,0.04638944244527465,-0.8270062931537225,6.1251889593171995,6.952195252470922,True
1.0374999999999999,0.048813797290080174,-0.9101657871776183,5.9248231607216155,6.834988947899234,True
1.04,0.052058915342229284,-0.9951489657554902,5.724457362126017,6.7196063278815075,True
1.0425,0.05612479660166514,-1.0827158924801452,5.524091563530433,6.6068074560105785,True
1.045,0.06101144106844458,-1.1748555611169635,5.323725764934849,6.498581326051813,True
1.0474999999999999,0.06671884874256762,-1.267621872455095,5.123359966339265,6.39098183879436,True
1.0499999999999998,0.07324701962392055,-1.3626835415093197,4.935428462990529,6.298112004499849,True
1.0525,0.08059595371267392,-1.4615708641731757,4.807784186190702,6.2693550503638775,True
1.055,0.08876565100871403,-1.5604581868370246,4.680139909390881,6.240598096227906,True
1.0574999999999999,0.09775611151204089,-1.6593455095008736,4.552495632591061,6.211841142091934,True
1.06,0.10756733522271134,-1.7582328321647225,4.424851355791233,6.183084187955956,True
1.0625,0.11819932214069695,-1.8607655090956001,4.29720707899142,6.15797258808702,True
1.065,0.12965207226602615,-1.965883150150674,4.169562802191599,6.135445952342273,True
1.0675,0.14192558559861368,-2.071000791205755,4.041918525391779,6.112919316597534,True
1.0699999999999998,0.1550198621385448,-2.179471055590426,3.9142742485919584,6.093745304182384,True
1.0725,0.1689349018858195,-2.2908561919004597,3.786629971792131,6.0774861636925905,True
1.075,0.18367070484035253,-2.404346048245138,3.6589856949923174,6.063331743237455,True
1.0775,0.19922727100225757,-2.5178359045898233,3.531341418192497,6.04917732278232,True
1.0799999999999998,0.21560460037144935,-2.6313257609345015,3.4036971413926764,6.035022902327178,True
1.0825,0.23280269294798472,-2.7450883921488867,3.287372193361321,6.032460585510208,True
1.085,0.25082154873180684,-2.8634612507584194,3.216025412422919,6.0794866631813385,True
1.0875,0.26966116772297255,-2.9834421928774972,3.144678631484517,6.128120824362014,True
1.0899999999999999,0.289321549921425,-3.103423134996575,3.0733318505461114,6.176754985542686,True
1.0925,0.30980269532722104,-3.22340407711566,3.001985069607702,6.225389146723362,True
1.095,0.33110460394033225,-3.343760067469937,2.9306382886693,6.274398356139237,True
1.0975,0.35322727576075863,-3.468191596924548,2.8592915077308945,6.3274831046554425,True
1.0999999999999999,0.3761707107885002,-3.5931168105010514,2.790232824006825,6.383349634507876,True
1.1025,0.39993490902350004,-3.718042024077562,2.762748443792466,6.480790467870028,True
1.105,0.42451987046590034,-3.842967237654065,2.735264063578109,6.578231301232174,True
1.1075,0.4499255951155874,-3.97003719934019,2.7077796833637517,6.677816882703942,True
1.1099999999999999,0.4761520829725896,-4.098475670048643,2.6802953031493946,6.7787709731980375,True
1.1124999999999998,0.503199334036907,-4.229049260892225,2.67019128958769,6.899240550479915,True
1.115,0.5310673483085395,-4.362545025953203,2.6655612336446293,7.028106259597832,True
1.1175,0.5597561257874872,-4.496040791014167,2.660931177701569,7.156971968715736,True
1.1199999999999999,0.5892656664737501,-4.629536556075138,2.6563011217585095,7.285837677833648,True
1.1225,0.6195959703673566,-4.763032321136116,2.651671065815449,7.414703386951565,True
1.125,0.6507470374682498,-4.899633372413071,2.647041009872389,7.54667438228546,True
1.1275,0.6827188677764582,-5.038254015405251,2.642410953929329,7.680664969334579,True
1.13,0.7155114612920102,-5.1768746583974234,2.6377808979862687,7.814655556383692,True
1.1324999999999998,0.7491248180148489,-5.315495301389603,2.633150842043209,7.948646143432812,True
1.135,0.7835589379450028,-5.45411594438179,2.6285207861001485,8.082636730481939,True
1.1375,0.8188138210825002,-5.59273658737397,2.6238907301570884,8.216627317531058,True
1.14,0.8548894674273129,-5.731357230366143,2.6192606742140283,8.350617904580172,True
1.1425,0.8917858769794407,-5.872369340365296,2.6146306182709678,8.486999958636265,True
1.145,0.9295030497388552,-6.0161833480262175,2.610000562327908,8.626183910354126,True
1.1475,0.9680409857055849,-6.159997355687153,2.605370506384848,8.765367862072,True
1.15,1.0073996848796867,-6.303811363348075,2.600740450441788,8.904551813789862,True
